Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1u","C_0603_1608Metric",154.700000,-97.500000,-90.000000,top
"C2","1u","C_0603_1608Metric",141.800000,-96.500000,180.000000,top
"C3","1u","C_0603_1608Metric",153.200000,-97.500000,-90.000000,top
"C4","1u","C_0603_1608Metric",154.100000,-103.400000,0.000000,top
"C5","10u","C_0805_2012Metric",151.300000,-97.500000,-90.000000,top
"D1","MBR0520","D_SOD-123",139.000000,-101.200000,90.000000,top
"Q1","AO3401","SOT-23",148.400000,-96.200000,0.000000,top
"R1","10K","R_0603_1608Metric",139.200000,-97.500000,90.000000,top
"R2","R","R_0603_1608Metric",145.900000,-98.700000,180.000000,top
"R3","2K7","R_0603_1608Metric",141.800000,-91.500000,180.000000,top
"R4","220","R_0603_1608Metric",148.900000,-98.700000,0.000000,top
"U1","HT7833_SOT89","SOT-89-3",153.000000,-93.300000,180.000000,top
"U2","TP4057","SOT-23-6",141.300000,-94.000000,0.000000,top
